bedrooms,bathrooms,sqft_living,sqft_lot,waterfront,price,zipcode
3,0.75,920,20412,1,530000,98070
3,1.75,1650,3200,0,550000,98102
4,2.5,3350,46748,0,650000,98010
3,1.75,1100,7224,0,229900,98032
3,1.75,1070,7200,0,208000,98010
4,2.25,2320,8760,0,248000,98032
1,2,3000,204732,0,415000,98014
3,2,1810,2159,0,550000,98109
2,1.75,1210,131115,0,510000,98070
3,1.75,1740,46580,0,340000,98010
4,3,3130,2646,0,1270000,98102
5,2.75,2560,5618,0,1180000,98109
3,1,1010,10168,0,300000,98014
2,1,840,12252,0,190000,98010
2,1,1300,11867,0,225000,98010
4,2.5,2940,156988,0,503000,98014
3,2.5,2660,206480,0,589000,98024
4,1.75,2020,16120,0,640000,98010
4,3.75,4090,24825,0,2400000,98102
2,1.5,1008,26487,1,480000,98070
1,1,960,40946,0,420850,98014
4,2.5,2960,4760,0,1020000,98102
3,3.25,1490,857,0,580000,98102
3,2.25,1480,97138,0,325000,98010
4,1.5,1890,10707,0,319990,98148
2,2,1410,12282,0,439900,98024
3,3,2400,4000,0,852000,98102
4,2.75,2300,37533,0,453000,98070
3,1.5,1460,9908,0,310000,98148
3,1.75,2600,7668,0,700000,98010
3,1.5,1320,9750,0,260000,98148
3,1,1190,11120,0,260000,98024
4,1.75,2430,13211,0,445000,98024
3,2.5,2280,58712,0,520000,98010
3,1.75,2600,105587,0,482000,98070
2,1,1270,19602,0,260000,98010
3,2.5,1660,1545,0,700000,98109
3,2.75,3150,219978,0,685000,98024
2,1.5,980,5000,0,134000,98014
3,1.5,1510,9898,0,202500,98148
3,1,1030,9120,0,223000,98032
3,2.5,1480,7200,0,256000,98010
3,2,1760,43575,0,322000,98010
3,1.75,1580,19998,0,350000,98010
3,1,1470,7350,0,240000,98032
3,2,1380,8536,0,265000,98148
1,1,780,10235,0,167000,98014
3,1.5,1750,12500,0,315000,98024
4,2.5,3130,60467,0,685530,98014
3,1,1150,8050,0,123300,98032
3,1,940,9272,0,225000,98148
3,1.5,1050,57499,0,378000,98024
3,2.75,2830,505166,1,999000,98070
4,3.5,4860,23885,0,2950000,98039
3,2.5,3360,218235,0,590000,98014
3,1,930,9900,0,176500,98032
3,1.75,1370,19550,0,375000,98014
3,1,1750,8820,0,234000,98032
3,2.25,1920,7840,0,299000,98032
2,1,940,15450,0,252000,98070
3,1.75,1630,9450,0,240000,98032
3,3.25,3710,38509,0,935000,98014
3,1.5,1180,9048,0,193000,98148
3,1,1050,5233,0,206000,98010
3,2.5,2030,7770,0,430000,98024
3,1,1350,7560,0,240000,98032
6,2.25,4910,6600,0,1680000,98102
1,1,630,1362,0,430000,98109
2,1.5,1556,20000,0,221700,98032
2,1.75,1150,2723,0,390000,98102
3,1,1810,13068,0,329500,98070
2,1,1120,9912,0,256500,98070
3,1.75,2130,5489,0,338500,98070
3,1.5,1810,349351,0,430000,98010
3,2.25,1940,217800,0,529000,98024
2,1.75,1560,1750,0,494400,98109
4,2.25,1860,9576,0,249000,98032
3,1.5,1870,3300,0,933000,98102
2,1,900,7500,0,252500,98014
6,1,1730,2760,0,563000,98109
3,2.75,1840,68479,0,406500,98014
1,1,850,6567,0,440000,98010
3,2,2420,208652,0,590000,98010
2,1,1220,7250,0,135000,98010
4,1.75,2410,6000,0,1440000,98109
3,3.25,1490,902,0,500000,98102
4,3.5,4210,18564,0,1910000,98039
3,2.5,1980,2975,0,736000,98109
2,2.75,1992,10946,1,429592,98070
3,3.5,1540,1427,0,216650,98109
3,2.5,2680,327135,0,630000,98010
4,2.5,2490,11650,0,270000,98148
3,1.5,1140,4800,0,716000,98109
3,3.25,3786,38038,1,1380000,98070
2,1,730,6728,0,122000,98148
4,2.25,2620,98881,0,525000,98070
3,1.75,1350,7588,0,241250,98010
3,1,1280,10500,0,291000,98024
5,2,3370,5000,0,762000,98109
3,1.75,1770,8235,0,295000,98148
3,1,1220,8119,0,875000,98039
3,1,1220,8119,0,940000,98039
3,2,1780,11342,0,280000,98148
3,1.75,1540,10400,0,340000,98024
3,3.5,1560,1490,0,625000,98102
4,5.5,7080,16573,0,4000000,98039
3,1,1060,9954,0,215000,98032
3,0.75,490,38500,0,150000,98014
2,2.5,1360,2070,0,755000,98102
9,3,3680,4400,0,700000,98102
3,2,1880,3000,0,710000,98109
5,2.25,1970,15247,0,435000,98024
4,1.5,2130,8800,0,260000,98032
3,3,3290,80471,0,562000,98070
3,1.75,1340,196020,0,340000,98010
3,1,1340,21336,0,281000,98032
2,1,1120,88327,0,435000,98010
3,1,990,8255,0,191000,98148
3,1.75,2240,78225,0,550000,98070
3,1,1980,3243,0,796000,98102
5,5.75,9200,35069,0,5570000,98039
3,2.25,1640,7630,0,247000,98032
2,3,2560,982278,0,790000,98014
4,2.75,3040,2800,0,840000,98102
5,1.75,1400,5071,0,425000,98014
3,2,2064,46173,0,567035,98070
3,2,3650,843309,0,550000,98070
3,3,3740,39640,0,789000,98070
3,1.75,1726,197326,0,363750,98070
3,1.75,2220,216493,0,585000,98014
5,2.5,2860,4000,0,1200000,98102
2,1.5,1560,10807,0,181000,98070
4,2.5,2770,63118,0,641000,98014
3,2.5,1760,8584,0,289950,98148
7,2.75,3410,4056,0,750000,98102
2,1,1040,20524,0,154000,98014
3,1,1320,8500,0,937500,98039
5,3.75,6810,7500,0,2480000,98102
4,2.25,1950,5950,0,895000,98109
4,2.5,2190,7125,0,320000,98032
3,1.75,1300,20700,0,275000,98024
3,1.75,1300,20700,0,369500,98024
4,2,1540,7575,0,215000,98032
4,1.75,2440,7350,0,330000,98032
4,2,1850,7560,0,250000,98032
2,1,2034,13392,1,549000,98070
4,3.5,5830,131116,0,1580000,98024
2,1,1110,3500,0,600000,98102
3,1.75,1570,8750,0,240000,98148
2,2.5,1880,40575,0,460000,98024
3,1,1360,13000,0,630000,98010
4,3,2680,15438,0,1160000,98039
4,1,1570,4000,0,525000,98102
5,1.5,1690,7725,0,285900,98032
3,2,2080,12972,0,389000,98070
4,2.75,2250,5700,0,648475,98109
2,3.25,3570,392475,0,835000,98024
3,1,960,10815,0,199999,98010
3,1.75,1730,7200,0,226450,98032
2,1,1100,27007,0,303000,98070
4,1.5,1730,7464,0,243400,98032
3,2,2360,118483,0,589000,98024
4,2.5,2690,32780,0,620000,98014
3,2.5,1370,7247,0,231000,98032
4,2,2580,4500,0,935000,98102
3,2.5,1990,20466,0,345000,98010
4,1.5,1530,9000,0,299800,98014
4,2,1470,7000,0,215000,98032
3,1,670,23522,0,340000,98024
2,1.5,1750,19709,0,575000,98010
5,1.5,1710,8100,0,158550,98032
3,2.5,1650,13816,0,272000,98014
3,2.75,2620,17919,0,1880000,98039
3,2.25,1640,14374,0,362000,98148
2,0.75,1392,43710,0,350000,98070
3,1,920,7500,0,203000,98032
3,2,1420,9828,0,241400,98010
3,2.25,1880,100623,0,530000,98024
3,2,2570,159865,0,625700,98024
3,2.75,3900,111514,0,415000,98024
3,1.5,1390,48257,0,275000,98024
5,5,5450,20412,0,3420000,98039
4,2,2280,39848,0,416500,98070
3,2.25,1920,7738,0,250000,98148
4,3.5,3840,85728,0,840000,98014
3,2.5,2480,37843,1,663000,98070
2,1,920,43560,0,255000,98024
4,3.5,2490,18042,0,495000,98070
2,2,1450,989,0,680000,98109
3,1.75,2000,12208,0,237000,98032
3,1,890,6488,0,150000,98014
4,2.5,4290,175421,0,792500,98010
2,0.75,1060,48292,1,340000,98070
3,1.5,1410,3600,0,626700,98109
3,3,4120,60392,0,560000,98014
3,3.5,1730,1349,0,635000,98102
3,2.5,1420,1438,0,670000,98102
6,3,2890,2370,0,799200,98102
3,2.25,1610,11920,0,277000,98032
3,2.5,2000,1950,0,755000,98109
2,1,750,7000,0,258000,98024
4,2.25,2240,9600,0,327500,98032
3,2.5,3680,203860,0,755000,98014
3,2.75,2930,218235,0,710000,98024
4,3,3160,10948,0,545000,98070
3,1.75,2080,87991,0,280000,98014
3,2.5,2200,3000,0,740000,98109
3,1.75,1500,15246,0,295000,98070
3,2.75,2600,12860,0,430000,98014
4,2.5,2430,6325,0,990000,98109
4,1.75,2360,6000,0,700000,98109
5,2.5,2870,16238,0,1560000,98039
2,1,970,3400,0,546000,98109
5,4.25,4650,108464,0,985000,98024
3,2,1850,16535,0,265000,98014
3,2.75,2480,209199,0,408506,98010
3,1.75,1560,82328,0,310000,98070
2,2.75,2090,23962,0,649000,98070
3,2,1380,8682,0,295000,98148
4,3.25,3920,881654,0,1650000,98024
2,2.25,1350,1248,0,482000,98102
3,2.5,1450,11480,0,309000,98014
3,2.5,1660,8125,0,295000,98148
3,1.5,1980,10203,0,570000,98010
7,4.5,6210,8856,0,3200000,98109
2,1,1240,5500,0,900000,98102
3,2,1400,45738,0,410000,98070
4,2.75,3120,34040,0,615000,98010
4,3,3720,57499,0,650000,98014
4,3,3230,438213,0,950000,98070
6,8,12050,27600,0,7700000,98102
2,1.75,1679,577605,0,700000,98070
2,1.5,1030,4500,0,595000,98109
3,2.5,1676,18778,0,330000,98014
4,3.25,3730,7071,0,1780000,98109
3,1.75,1660,7210,0,263000,98032
5,1.75,1610,15246,0,393000,98024
4,2.5,2150,39449,0,486000,98024
3,2.75,2170,7900,0,296500,98032
5,2.25,2640,14959,0,1400000,98039
3,2.5,2120,196995,0,645000,98070
3,1,1040,11900,0,330000,98070
3,1,1240,9300,0,290000,98148
2,1,1100,4160,0,625000,98109
4,2.25,1780,8820,0,310000,98032
3,1.75,1290,4811,0,163000,98032
3,2.5,2010,6857,0,960000,98102
3,1,1100,145490,0,465000,98024
3,1.5,1400,7582,0,285000,98148
4,2.25,2190,9020,0,320000,98032
3,2.25,1750,1572,0,626000,98102
3,2,1610,15005,0,345000,98014
3,1.5,1660,3190,0,658000,98109
4,1.5,2310,68824,0,407450,98010
3,2.25,1780,1429,0,620000,98109
2,1,960,223898,0,365000,98014
3,1,1060,7350,0,182000,98032
4,3.25,3580,43093,0,700000,98024
3,1.75,2020,215622,0,490000,98070
4,3.25,3100,3900,0,1450000,98109
3,2.5,3970,263538,0,1070000,98024
4,3.25,4580,4838,0,2900000,98109
3,1.75,2720,149410,0,535000,98014
5,4.25,3380,7805,0,569950,98148
3,1,1230,171190,0,275000,98070
3,3.5,3870,3819,0,1440000,98102
4,2.75,2200,122403,0,522500,98014
3,3.25,3410,25741,0,720000,98014
2,2,1651,18200,0,285000,98070
2,1,770,7000,0,212000,98024
3,1,1752,14626,0,249000,98032
3,2.5,3160,286181,0,579000,98010
3,2.75,2680,20104,0,1320000,98039
5,2.5,2200,8500,0,320900,98010
2,1,1070,2880,0,350000,98102
3,2.5,2090,32718,1,400000,98070
3,1,1710,19115,0,305000,98014
3,1.75,1640,47044,0,500000,98014
3,2.25,1290,1182,0,525000,98102
4,2,2600,9000,0,250000,98032
3,2,2350,6000,0,875000,98102
4,2.5,2510,7992,0,319000,98032
5,2.75,2980,8500,0,374900,98032
3,2,2632,18743,0,695000,98070
3,2.5,2630,185130,0,475000,98014
4,1.5,1650,2970,0,752000,98102
4,3.5,3420,49223,0,679000,98010
4,2.5,2300,22445,0,498000,98014
3,0.75,770,7000,0,205000,98024
2,1.5,1995,115670,0,645000,98070
3,3.25,2420,1923,0,1010000,98109
2,1,1210,10000,0,222200,98148
2,2.75,1100,1088,0,440000,98102
3,1.75,2930,266587,0,549950,98014
3,1.75,1890,32340,0,445000,98070
3,1.75,1590,7535,0,249000,98032
3,2.5,1730,4004,0,348000,98148
3,1.5,1952,8613,0,270500,98032
3,2,2350,209088,0,539000,98014
4,1.5,1780,8000,0,200000,98010
2,1.5,1040,83199,0,310000,98070
2,1,930,12724,0,230950,98014
3,2.5,2390,15084,0,790000,98010
3,3,3490,4500,0,1050000,98102
5,3,2680,9624,0,359999,98010
4,2,1410,4480,0,625000,98109
4,2.5,2820,25995,0,545000,98010
4,3.5,3770,47480,0,665000,98010
3,2.25,3190,324086,0,765000,98024
2,1,1100,4000,0,570000,98109
3,2.5,2290,2798,0,660000,98102
3,1.75,1610,38707,0,319502,98010
3,2.25,2170,8480,0,315000,98148
3,2.5,2740,83199,0,400000,98032
3,1,1520,7800,0,250000,98032
3,1.75,1280,2147,0,670000,98102
3,2.5,2130,3545,0,1070000,98109
4,2.5,3420,222156,0,650000,98010
4,4.25,5584,68257,0,1680000,98014
6,7.75,9890,31374,0,6890000,98039
3,2,2410,50654,0,485000,98070
1,1,1020,3200,0,465000,98109
2,1,990,57499,0,220500,98070
2,1,990,57499,0,329000,98070
3,1.75,1750,7020,0,510000,98010
3,2.5,2030,217805,0,565000,98070
3,1,1630,3200,0,925000,98109
4,1.5,1310,8250,0,251200,98148
4,1,1620,37075,0,430000,98024
3,1,1160,8320,0,201500,98032
3,1.5,1570,1050,0,792000,98109
3,2.5,1680,10300,0,262000,98010
3,1,1340,18000,0,297000,98070
4,2.5,2430,42646,0,490000,98014
3,1.5,1630,22764,0,165000,98032
4,2.25,2070,7350,0,280927,98032
1,1,920,91476,0,650000,98070
3,1.75,1970,10270,0,268000,98032
3,2.5,1720,4120,0,340000,98148
2,0.75,520,6862,0,330000,98010
3,3.5,3090,27598,0,496000,98070
3,1.5,1530,10827,0,865000,98039
4,4,5545,871200,0,937500,98014
3,2,2090,42689,0,499000,98010
3,2,1570,14992,0,340000,98014
3,1.75,1610,14000,0,263500,98010
3,2.25,2300,15952,0,1000000,98039
4,2.25,2670,10050,0,275000,98032
3,2.5,1778,147823,0,435000,98014
4,3,2880,5500,0,1100000,98102
3,2,2590,3750,0,885000,98109
2,1,990,45528,0,280000,98070
3,2.25,1610,10454,0,280000,98148
3,2.25,1880,7488,0,290000,98032
3,1,1370,5250,0,655000,98109
2,1.75,1320,13052,0,200000,98014
4,3.25,1946,17786,0,485000,98070
4,1.75,1680,15084,0,340000,98014
3,2,1140,6000,0,660000,98109
4,2.5,3870,50965,0,600000,98010
3,1.5,2680,4775,0,1360000,98109
3,1,1570,9650,0,212644,98010
2,1,830,9000,0,85000,98032
2,1,830,9000,0,235000,98032
4,3.5,3980,209523,0,810000,98024
3,2.75,1830,208216,0,495000,98070
4,2.5,2210,9427,0,375000,98148
3,1.75,1840,2310,0,650000,98109
4,2.5,2120,215186,0,396400,98014
4,2.5,3410,179419,0,774950,98010
3,2.5,2490,4000,0,1150000,98109
4,2.25,1900,10950,0,290000,98032
3,4.25,3300,308080,0,729000,98070
3,2.5,2060,4030,0,244615,98032
3,1.75,2000,12669,0,367000,98070
3,2.25,3200,3800,0,995000,98102
3,2,2350,266151,0,510000,98014
3,3,1420,991,0,615000,98102
3,1,1390,10500,0,392500,98024
2,2.25,1370,1248,0,555000,98102
2,2,1830,3600,0,825000,98109
4,1,1150,2560,0,485000,98109
2,1.75,1070,9750,0,241000,98014
4,2.25,2210,9371,0,305000,98032
5,4.5,6085,142725,0,1610000,98014
4,2,5461,22880,0,545000,98032
5,2.25,2630,8625,0,320000,98032
3,2.5,3136,54450,0,665000,98070
2,1,860,10500,0,235000,98024
4,1.75,1820,13600,0,268500,98032
4,2.5,2390,9600,0,314500,98010
3,1.5,1760,4000,0,690000,98102
3,1.5,1250,7200,0,165000,98032
3,2.5,2010,14298,0,350000,98070
3,1.75,1640,53400,0,319000,98070
3,2.5,1420,14850,0,260000,98032
3,1.75,2310,7680,0,336950,98032
4,2.5,2040,21781,0,443500,98014
4,2.5,2040,21781,0,471000,98014
3,1,1090,10000,0,240000,98014
3,1,910,8789,0,221000,98148
2,2.5,1390,1132,0,635000,98102
3,2.25,1640,8400,0,245700,98032
4,1.75,3550,19865,0,2100000,98039
4,1.75,2080,8750,0,300000,98032
3,1.5,1460,13503,0,240000,98010
3,3.5,1480,1077,0,216650,98109
3,1.75,1920,4000,0,615000,98102
3,2.25,2750,219542,0,510000,98014
3,1.75,1410,15134,0,315000,98014
4,1,1250,9102,0,255000,98148
2,2,1140,8400,0,255000,98148
4,2.25,2640,3000,0,1550000,98109
4,3,3260,4500,0,1280000,98109
3,2.25,1350,6775,0,245000,98032
3,1.75,1320,9675,0,330000,98024
4,2.75,2890,4000,0,740000,98109
3,1,890,9465,0,154500,98148
2,1,1110,3943,0,410500,98109
3,2.5,1730,4286,0,339950,98148
2,1,710,1173,0,402000,98102
4,3.5,3420,33106,0,655000,98010
3,1.5,1670,6988,0,280500,98148
3,3.5,3240,23522,0,902500,98010
4,3,3720,5000,0,1440000,98102
5,3,4780,20440,0,2580000,98039
4,2.5,3190,27806,0,625000,98010
5,2,2120,137565,0,437000,98070
3,1.75,1600,2538,0,845000,98102
4,1.75,4060,5500,0,1300000,98102
3,1,1240,9198,0,185000,98032
2,2,1440,213008,0,430000,98070
4,2.5,1904,8200,0,365000,98010
3,3,3910,19023,0,805000,98014
1,0.75,470,15000,0,156000,98014
2,1,1300,39639,0,295000,98070
3,1.75,2040,273556,0,467500,98070
4,2.5,3320,244807,0,675000,98010
4,3.75,2400,3520,0,885000,98109
5,2.5,2660,6572,0,1710000,98039
4,2,1810,42981,0,295000,98024
3,2.25,2020,21010,0,420000,98014
3,2.75,1820,52889,0,417000,98070
2,1,1120,2000,0,524000,98109
2,1.75,2260,280962,0,649000,98014
2,1.75,1170,976,0,530000,98102
3,1,1110,6000,0,550000,98109
5,3.5,3610,52595,0,587000,98014
3,2.5,2010,57934,0,495500,98014
3,2.5,2560,16420,0,470950,98014
4,3.25,3480,6000,0,1850000,98109
4,1.75,2040,5000,0,1270000,98102
3,1,1890,36300,0,355000,98024
4,2.25,1980,7081,0,287000,98032
3,1.75,1870,25157,0,475000,98014
4,1.75,1580,9382,0,787500,98039
3,2.5,2840,216493,0,560000,98014
3,1,1020,9147,0,214000,98010
3,2,1590,9912,0,385000,98070
2,1,1160,7500,0,312000,98014
3,1,1610,8500,0,180000,98032
3,1,1260,5000,0,300000,98014
3,2.5,2260,251460,0,777700,98070
2,1,1010,43056,0,155000,98014
3,2.5,2460,6600,0,931000,98109
4,2.75,1500,7036,0,262500,98032
3,1.5,1390,12500,0,225000,98014
3,1,1010,3520,0,525000,98102
4,3.25,3640,13530,0,1650000,98039
3,1.75,2140,13598,0,375000,98014
4,3.5,4460,16953,0,1800000,98039
4,1,1460,16638,0,162000,98010
4,3,3350,199253,0,740000,98010
4,3,3350,199253,0,700000,98010
3,1,1020,7538,0,241000,98032
2,2.25,2320,18919,1,600000,98070
4,2,2450,4400,0,800000,98102
4,2.25,2210,11700,0,336000,98032
3,1.75,1520,12246,0,235000,98010
3,1,1690,13825,0,257500,98148
2,2.25,2950,15593,0,1550000,98039
5,2.5,2810,6000,0,1170000,98109
3,1,1580,4000,0,690000,98102
4,1.75,1880,3720,0,860000,98109
2,2,2280,641203,0,849900,98070
3,2.5,2570,5000,0,1480000,98102
3,1.75,1940,167125,1,635000,98070
4,3.5,2734,210201,0,520000,98070
3,1.75,1650,221720,0,610000,98024
3,2.25,3060,16000,0,1760000,98039
4,1.5,1780,14810,0,240000,98032
2,1,930,7740,0,105500,98148
2,1,930,7740,0,445000,98148
3,3.25,3140,5445,0,1640000,98109
4,1,1820,4000,0,825000,98102
4,2.5,2890,15067,0,515000,98024
3,1.75,2200,7200,0,265000,98032
3,3.25,2940,5432,0,1710000,98109
4,2.75,3110,49765,0,531500,98010
4,3,2580,9601,0,355000,98070
3,2,2690,435600,0,575000,98070
3,1.75,1730,15003,0,335000,98014
4,2.5,2740,16007,0,1230000,98039
2,2,2100,58488,0,370000,98014
3,1,1370,7500,0,307000,98014
3,1.75,2450,15001,0,399950,98014
2,1,760,5240,0,129000,98032
4,3.25,4430,21000,0,2750000,98039
5,3,2230,4400,0,920000,98102
3,2.25,1580,16215,0,335000,98024
3,1.75,1860,48076,0,407185,98070
3,1.75,2130,4400,0,675000,98102
3,1.5,1150,27319,0,358000,98070
3,1.75,2060,3300,0,810000,98102
4,1,1410,7000,0,225000,98032
3,1,970,7700,0,205000,98032
3,1.75,1500,19113,0,418000,98014
3,2.5,1850,17808,0,374000,98032
4,3.75,4150,17424,0,1950000,98039
3,1.75,1250,9486,0,295000,98070
4,1.5,1980,113691,0,400000,98024
3,2.75,2170,2738,0,848000,98109
4,2.5,2370,15336,0,495000,98024
5,1.75,2080,217800,0,480000,98070
3,1.75,1560,26099,0,519000,98070
3,2,3570,30456,0,2200000,98039
2,1.5,1300,2970,0,550000,98102
2,1.75,1550,7764,1,600000,98070
5,3.25,3800,15500,0,380000,98032
4,2.25,2630,4000,0,1050000,98102
4,2,2240,9240,0,309000,98032
3,1,1340,18552,0,160000,98014
3,2.5,1860,21876,0,350000,98014
4,2.5,3600,155509,0,760000,98010
3,2,2930,29136,0,460000,98010
3,1,1580,3840,0,729000,98102
3,1,1190,85226,0,390000,98070
3,1.75,1580,9750,0,289000,98148
4,2.5,3400,247421,0,712000,98010
3,2.5,3150,21893,0,530000,98014
3,2.5,3110,9930,0,1260000,98039
3,2.25,2280,200811,0,410000,98014
2,2,1494,19271,1,465000,98070
3,1,1210,103237,0,160000,98070
3,2.5,2450,4400,0,952000,98102
2,1,1330,92782,0,455000,98014
3,2.25,2100,205603,0,437500,98070
4,2.5,2540,8400,0,269950,98032
3,2.25,1740,7345,0,270000,98032
4,1.5,2740,4000,0,1110000,98109
4,1.75,1860,9112,0,265000,98032
7,4.25,4670,23115,0,2450000,98039
4,1.5,2500,6300,0,250000,98032
3,1,1130,10018,0,227000,98032
3,1.75,1850,26445,0,475000,98010
3,1.5,1580,8184,0,260000,98148
4,2.75,2440,7150,0,270000,98032
3,2.5,2040,6000,0,872500,98109
3,1.75,1720,9775,0,169000,98032
3,1.75,1720,9775,0,279950,98032
2,1.5,1800,4500,0,930000,98109
4,1.75,2000,6000,0,710000,98109
3,2.25,2390,2750,0,915000,98109
3,2,1720,2000,0,935000,98109
4,3.25,4830,22257,1,3640000,98039
3,1,1290,12415,0,300000,98070
3,2.5,1550,1092,0,550000,98102
4,2.5,3240,3600,0,1220000,98109
4,2.75,2950,49658,0,424900,98010
4,1.5,2170,9948,0,195000,98148
4,3.75,3520,3944,0,1220000,98109
3,2.5,2210,70567,0,509950,98014
3,1.5,2000,15265,0,273500,98032
3,1.5,1240,9975,0,405000,98024
3,2.5,2840,48716,0,500000,98014
2,1,960,21850,0,242000,98032
4,2.5,2670,8279,0,415000,98148
4,1,1740,37238,0,470000,98024
4,2.25,2670,9040,0,339950,98148
3,1,1120,32250,0,230000,98070
3,2.5,1370,1911,0,797000,98109
2,1,960,87991,0,180000,98014
4,3.25,4040,18916,0,2270000,98039
3,1.5,1010,7755,0,185000,98148
3,1,1360,9948,0,234950,98010
3,1,1040,4480,0,642000,98109
3,2.5,1950,18533,0,400000,98024
2,1,930,10505,0,235000,98148
3,2.5,2750,226512,0,819000,98070
3,2.5,3230,129578,0,499950,98014
3,2.5,1995,1483,0,505000,98102
4,1.5,1220,9600,0,310000,98014
4,1.75,1900,22896,0,257000,98010
3,1,940,7125,0,185000,98032
4,2.25,2350,17709,0,1620000,98039
5,3.25,2800,3200,0,1310000,98109
3,2.25,3170,5000,0,1600000,98102
4,3.5,5550,28078,0,3710000,98039
3,2.5,1690,10336,0,267000,98010
3,2.5,950,1110,0,475000,98102
2,0.75,660,5240,0,100000,98032
4,2.5,2390,4200,0,1200000,98102
4,3,2150,8119,0,1200000,98039
2,1,840,7200,0,202000,98032
2,1,710,1136,0,403950,98102
2,1,1240,27042,0,355000,98070
3,1.75,1200,55321,0,213000,98010
3,2.5,1740,22089,0,445000,98070
4,1,1200,11834,1,340000,98070
5,2,2360,19899,0,355500,98010
4,2.25,2010,7280,0,324900,98032
2,2.25,2770,11884,0,645000,98070
1,1,1090,32010,0,598800,98014
4,1.75,2470,131790,0,585000,98070
3,2,1340,9750,0,324950,98024
2,1,910,9753,0,85000,98032
2,1,860,5080,0,209950,98032
2,2.25,1730,31491,1,800000,98070
3,1,1010,25000,0,150000,98014
2,1,1010,5408,0,225000,98032
4,4.5,4300,19844,0,2500000,98039
2,1,1160,32251,0,330000,98010
4,1.5,1470,70800,0,325000,98010
4,2.5,1990,9656,0,264950,98010
4,2,2180,17180,0,470000,98014
3,1.75,1690,6375,0,457000,98024
3,1.75,1610,144619,0,425000,98024
4,2.25,3060,48787,0,415000,98010
3,2,1190,10299,0,240000,98010
3,1,1140,3240,0,160000,98014
3,0.75,1030,12700,0,229950,98032
3,2.5,2690,21883,0,445000,98014
4,4.5,4240,13162,0,2190000,98039
4,1,2300,9583,0,303000,98024
3,2.5,1480,9743,0,269950,98010
4,2,1590,6750,0,670500,98102
3,1.75,2190,3800,0,988000,98109
3,1.75,1070,7200,0,224400,98010
3,2.5,1650,13816,0,334999,98014
3,2.5,2960,69351,1,750000,98070
4,3.5,4270,117176,0,997950,98024
5,2.75,3090,19865,0,1450000,98039
4,2.75,3260,19542,0,1880000,98039
3,1.75,1550,9720,0,255000,98010
3,2.5,3550,136343,0,545000,98014
2,2,1090,934,0,427500,98109
2,1,710,1164794,0,190000,98014
2,1,1040,13100,0,160000,98032
5,1.75,1930,501376,0,800000,98014
2,1,590,10945,0,398000,98010
3,1.5,1890,5000,0,826000,98109
2,2.25,1600,80400,0,492500,98070
3,2.5,1070,1155,0,330000,98102
4,4.25,4960,6000,0,1430000,98109
3,1,830,9600,0,135000,98032
